,Year,Week,SMN,SMT,VCI,TCI,VHI,Region_ID
0,1982,1,0.045,261.12,36.68,41.79,39.23,10
1,1982,2,0.041,262.61,36.46,35.1,35.78,10
2,1982,3,0.041,263.82,36.49,30.79,33.64,10
3,1982,4,0.038,264.71,33.46,28.66,31.06,10
4,1982,5,0.034,264.76,29.66,30.5,30.08,10
5,1982,6,0.033,265.5,26.5,32.88,29.69,10
6,1982,7,0.033,266.58,23.46,35.64,29.55,10
7,1982,8,0.035,267.64,22.5,39.09,30.79,10
8,1982,9,0.036,268.9,20.89,43.95,32.42,10
9,1982,10,0.039,270.55,17.81,48.85,33.33,10
10,1982,11,0.052,273.52,19.6,46.13,32.87,10
11,1982,12,0.067,277.3,22.67,42.61,32.64,10
12,1982,13,0.079,280.02,24.18,42.58,33.38,10
13,1982,14,0.089,282.21,23.58,45.83,34.71,10
14,1982,15,0.098,283.7,20.43,56.82,38.62,10
15,1982,16,0.118,285.36,20.38,69.83,45.11,10
16,1982,17,0.146,287.17,21.73,82.6,52.16,10
17,1982,18,0.184,289.66,25.97,85.71,55.84,10
18,1982,19,0.227,292.27,29.27,83.82,56.54,10
19,1982,20,0.265,293.88,30.82,80.61,55.72,10
20,1982,21,0.295,294.53,30.86,81.58,56.22,10
21,1982,22,0.315,294.79,27.41,82.45,54.93,10
22,1982,23,0.324,294.53,20.79,85.74,53.27,10
23,1982,24,0.332,294.71,18.77,87.14,52.95,10
24,1982,25,0.336,294.7,20.47,90.88,55.68,10
25,1982,26,0.338,294.62,23.38,93.28,58.33,10
26,1982,27,0.336,294.74,25.31,93.27,59.29,10
27,1982,28,0.335,294.94,30.03,91.68,60.86,10
28,1982,29,0.34,295.44,38.12,89.06,63.59,10
29,1982,30,0.339,295.9,44.76,85.09,64.92,10
30,1982,31,0.332,296.39,47.72,79.13,63.42,10
31,1982,32,0.327,296.96,51.04,72.24,61.64,10
32,1982,33,0.321,297.24,55.09,68.01,61.55,10
33,1982,34,0.313,297.08,58.52,65.68,62.1,10
34,1982,35,0.305,296.81,64.02,58.99,61.51,10
35,1982,36,0.295,296.5,67.67,45.91,56.79,10
36,1982,37,0.278,295.71,66.82,34.81,50.82,10
37,1982,38,0.259,294.39,64.42,29.31,46.87,10
38,1982,39,0.235,292.74,58.66,26.3,42.48,10
39,1982,40,0.204,290.43,48.87,27.83,38.35,10
40,1982,41,0.172,287.69,40.46,30.6,35.53,10
41,1982,42,0.146,284.94,36.7,31.58,34.14,10
42,1982,43,0.127,282.4,35.77,31.57,33.67,10
43,1982,44,0.112,280.36,35.29,23.16,29.22,10
44,1982,45,0.096,278.34,33.13,18.79,25.96,10
